mean_SR,mean_deri,mean_dif_neg,propo_neg,num_local_min,mean_rise,sp_0.0_0.2,sp_0.2_0.4,sp_0.4_0.6,sp_0.6_0.8,sp_0.8_1.0,sp_1.0_1.2,sp_1.2_1.4,sp_1.4_1.6,sp_1.6_1.8,sp_1.8_2.0,sp_2.0_2.2,sp_2.2_2.4,ZC_SCSR,ZC_SCVSR,mag_SCSR,mag_SCVSR
-0.5723797001217709,0.7424658514921592,0.7544378504772675,-0.5687732342007437,0.4896551724137932,-0.11755361321381042,-0.9939912000338079,-0.9923094136381586,-0.9910964455458855,-0.9930960760618633,-0.999325531849891,-0.999591325719699,-0.9997480252477594,-0.9994038531507953,-0.9995221290548909,-0.9997052569386067,-0.9997143526981828,-0.9999452076581066,0.19999999999999996,-1.0,-0.9230758295270172,-1.0
-0.5588334462713325,-0.2009321779136083,0.8259883951893117,-0.13754646840148688,0.40689655172413786,-0.5514958957604181,-0.9661977472012256,-0.8027316390753119,-0.6133277440634384,-0.8178133281824698,-0.9447978413739664,-0.9783313611439868,-0.9960074505575502,-0.9887196065246256,-0.9962439833810524,-0.9974274796371099,-0.9975650534346884,-0.999882433281626,0.3999999999999999,-1.0,-0.5203066115131696,-1.0
-0.5451743479708063,-0.12066485035704266,0.8310867194464628,-0.24163568773234223,0.42068965517241375,-0.8071485313147418,-0.9949706328174721,-0.9839342664400146,-0.9617082937817314,-0.9961806544632422,-0.9946657188630916,-0.9996385707212935,-0.9987161203631263,-0.9991585152272209,-0.9997226409069286,-0.9994436213411836,-0.9995937703654697,-0.9996664448261916,-0.4,0.0,0.3415166326430725,0.7631646641550625
-0.5178725541397315,-0.2638120029972367,0.7690918375238385,0.01115241635687747,0.40689655172413786,-0.23907863434027665,-0.9941412627532635,-0.9885234671382219,-0.9816370445226912,-0.989060535935377,-0.9927276370644416,-0.9970383052245003,-0.9985805707752248,-0.9990499630493602,-0.9998273578653264,-0.9998638735291472,-0.9998505257773209,-0.9998429686270839,0.0,-1.0,-0.292182590148625,-1.0
-0.34039350234605004,-0.11434044670556642,0.7234462839990365,0.018587360594795266,0.5586206896551724,-0.6393963469732891,-0.9304806860420428,-0.8213706523875335,-0.894172735691267,-0.8402650252320384,-0.9799539879199257,-0.9986178961472527,-0.9989953527813614,-0.9981496903640569,-0.9953142743613604,-0.9988251206594727,-0.9951241415449871,-0.9977827737561462,0.19999999999999996,0.0,-0.343450731668532,1.0
-0.4077793176996297,-0.21858659318154006,0.8037224887744725,0.07806691449814074,0.7931034482758621,-0.40111199421554355,-0.9796651127473802,-0.9905783042134946,-0.9879824091711121,-0.9374853622837037,-0.9925052249071702,-0.9990331450508871,-0.9980615569722129,-0.9993214925577575,-0.9992003678249946,-0.9996741739631012,-0.9988394096283156,-0.9988458240202347,-1.0,-1.0,-1.0,-1.0
-0.8256900885754963,-0.340721777961009,0.7730106615594572,-0.040892193308550207,-0.11724137931034484,-0.6934074677450555,-0.9982804797363392,-0.9655552000853266,-0.7988192648736558,-0.7035881691691241,-0.9790163937480325,-0.9946701202858096,-0.99462660032844,-0.9990858026969978,-0.9989352719367841,-0.9997618021607634,-0.9994873163717626,-0.9999164369897589,0.19999999999999996,0.4999999999999998,-0.0785147452262589,-0.2901702235262541
-0.6791986830139669,-0.006919327345896509,0.9161850343419613,-0.7211895910780669,0.7517241379310344,-0.7696584606275338,-0.9918982317515327,-0.9997794370479189,-1.0,-0.9999302159810435,-0.9998431899310266,-0.99971609154796,-0.9993966593110623,-0.9994109481052051,-0.9999600186710601,-0.999793022628237,-0.9998266096792844,-0.999951086133834,-1.0,-1.0,-1.0,-1.0
-0.5989082207942065,-0.1521384983282843,0.8514386176207012,-0.17100371747211907,0.7931034482758621,0.21842732295459477,-0.9974367455366991,-0.9975078510378349,-0.9963367016318503,-0.9956441774467449,-0.9987141598021325,-0.999436767630351,-0.9998140279384279,-0.9997946821870617,-0.9992500672664137,-0.9997446289805461,-0.9998499086913823,-0.9998310809501044,0.6000000000000001,-1.0,-0.8260050735409198,-1.0
-0.581259110539074,-0.08424766352648705,0.8669624640049867,-0.3382899628252789,0.7241379310344827,1.0,-0.9964644629539084,-0.9519540133946165,-0.9112932907071153,-0.941796559747828,-0.9876485054343945,-0.9982784898844738,-0.9985954907705833,-0.9992287942416138,-0.9994440933309343,-0.9997074555960198,-0.9992817139118283,-0.9993459823205237,-0.19999999999999996,-1.0,0.6468828798396986,-1.0
